Id,Name,Type,UnitPrice
99c91de9-3773-4805-8e82-113dcca9899a,Red velvet cake,cake,6500
b5d1b72e-9ff8-46c6-babf-6d5de3954dde,Orange juice,juice,2000
84068c75-2098-452d-b602-8847875686f6,Apple juice,juice,2500
92f867ed-2ec6-4f4a-a198-e854053cc62f,Americano,coffee,3000
d27a9579-9e2e-487f-964e-5333b48e0533,Grape juice,juice,3000
a8deb962-da14-4299-928e-6c9b15504373,Carrot cake,cake,6000
5bc36e55-5ba9-494e-90e6-de7b4a8f5ab0,Grape juice,juice,3000
fbf3210b-0c0b-4ee4-bd74-6143f563fca1,Strawberry cake,cake,5500
cd0c479f-599f-4744-b952-002cd769c095,Carrot cake,cake,6000
58937fac-ecfb-4758-87be-167f2cb001d5,Grape juice,juice,3000
