ID,Name,Type,address
b2e0cf1e-08f6-43f7-a34d-b20c306e1fd3,"컴포즈 잠실 4호점, 컴포즈",영월시 종로구
851f21f5-1fef-4095-8f8f-e1334a339851,"스타벅스 성수 1호점, 스타벅스",대전시 강동구
b6a402dd-936f-43ed-9ade-13792cfc6797,"할리스 강남 6호점, 할리스",제주시 송파구
3eaad431-b832-4a39-ad23-8714c214e2cb,"매머드 홍대 10호점, 매머드",고양시 강동구
e86b0561-d912-4c5a-b135-ab9e6d43ec7a,"컴포즈 잠실 2호점, 컴포즈",서귀포시 성북구
0deb098d-7d74-48a7-ae2d-42709715c57a,"스타벅스 신촌 1호점, 스타벅스",대전시 송파구
d28df725-273d-4a56-a043-1ce3b04367e2,"컴포즈 신촌 3호점, 컴포즈",고양시 동대문구
8d2f4ebf-598a-479a-84e9-b9ce5baae92e,"매머드 합정 3호점, 매머드",전주광주시 노원구
7a65fe41-2b99-4dca-8ab8-1dfc814ab066,"블루라벨 강남 4호점, 블루라벨",고양시 성북구
3bdcd164-a95a-4d0a-83c0-adfda6c6704c,"블루라벨 신촌 8호점, 블루라벨",대전시 송파구
9ff7f775-0192-42e7-9eb9-8e7d98a10667,"매머드 성수 1호점, 매머드",대구시 노원구
9958f268-4d66-44bf-b6ab-ca51454a6246,"스타벅스 강남 1호점, 스타벅스",서울시 동대문구
9084bb5d-578c-45fe-86f0-3f0b14c5d7e1,"블루라벨 합정 8호점, 블루라벨",전주광주시 강동구
f8667dfb-7884-4700-990d-2b1f59cc52a9,"이디야 신촌 10호점, 이디야",제주시 종로구
8c594b71-7ecc-4d9a-af9a-7c382909ba76,"스타벅스 합정 9호점, 스타벅스",부천시 강동구
69ec16cf-dcca-45a1-9318-e267c819908e,"컴포즈 잠실 5호점, 컴포즈",대구시 강남구
d6ef4564-21f4-46b6-9193-fcccbb6c9a1f,"투썸 합정 2호점, 투썸",대전시 강남구
d18699e0-fd08-4b52-aee8-0be2f7cc387f,"투썸 홍대 10호점, 투썸",고양시 송파구
5c5f8b24-95fd-4f12-baf2-c4dd7d758233,"스타벅스 합정 3호점, 스타벅스",대전시 강남구
9fffb4af-58f4-41e4-bf05-34b593ca88f4,"할리스 신촌 1호점, 할리스",전주광주시 강서구
